# Blood pressure
# 
# Daily measurements of blood pressure and resting pulse.
# 
# Variables:
#   date (date): date of measurement
#   systolic (numeric): systolic blood pressure (mm Hg)
#   diastolic (numeric): diastolic blood pressure (mm Hg)
#   pulse (numeric): resting pulse (beats per minute)

date,systolic,diastolic,pulse
2012-06-13,125,77,56
2012-06-14,118,76,59
2012-06-15,125,75,59
2012-06-16,126,73,69
2012-06-17,124,77,70
2012-06-18,127,83,63
2012-06-19,124,77,60
2012-06-20,126,82,56
2012-06-21,121,73,61
2012-06-22,119,79,63
2012-06-23,124,84,62
2012-06-24,125,77,66
2012-06-25,130,78,67
2012-06-26,128,81,62
2012-06-27,131,79,63
2012-06-28,125,81,62
2012-06-29,123,76,59
2012-06-30,124,74,57
2012-07-01,129,84,66
2012-07-02,131,80,68
2012-07-03,123,76,59
2012-07-04,131,83,62
2012-07-05,127,79,70
2012-07-06,NA,NA,NA
2012-07-07,133,84,68
2012-07-08,125,77,59
2012-07-09,129,80,71
2012-07-10,124,80,63
2012-07-11,125,83,69
2012-07-12,119,77,67
2012-07-13,127,81,63
2012-07-14,126,83,69
