# Clostridioides difficile infections
# 
# Hospital acquired C. diff. infections
# 
# Variables:
#   month (date): first day of month
#   cases (numeric): number of cases
#   risk_days (numeric): number of patient days without infection

month,infections,risk_days
2020-01-01,12,19801
2020-02-01,7,18674
2020-03-01,1,15077
2020-04-01,4,12062
2020-05-01,4,14005
2020-06-01,5,14840
2020-07-01,8,14471
2020-08-01,5,14571
2020-09-01,8,14387
2020-10-01,3,15191
2020-11-01,5,14688
2020-12-01,6,14394
2021-01-01,7,13608
2021-02-01,4,11938
2021-03-01,5,14525
2021-04-01,3,14166
2021-05-01,4,14411
2021-06-01,4,15082
2021-07-01,3,13578
2021-08-01,4,14266
2021-09-01,5,15949
2021-10-01,4,16660
2021-11-01,5,16237
2021-12-01,5,15644
