# Diabetes HbA1c
# 
# HbA1c measurements in children with diabetes
# 
# Variables:
#   month (date): month of measurements
#   avg_hba1c (numeric): average of HbA1c measurements
#   n (integer): number of patients who visited the clinic

month,avg_hba1c,n
2019-03-01,59.3224299065421,214
2019-04-01,60.2413793103448,203
2019-05-01,58.0660377358491,212
2019-06-01,60.4243697478992,238
2019-07-01,62.375,96
2019-08-01,59.3145161290323,248
2019-09-01,60.5555555555556,234
2019-10-01,60.2916666666667,168
2019-11-01,59.64948453608249,194
2019-12-01,61.787610619469,226
2020-01-01,60.509345794392495,214
2020-02-01,61.6338028169014,213
2020-03-01,62.9411764705882,119
2020-04-01,67.9433962264151,53
2020-05-01,61.7228260869565,184
2020-06-01,59.9336099585062,241
2020-07-01,61.8924731182796,93
2020-08-01,60.9718309859155,213
2020-09-01,59.8308270676692,266
2020-10-01,63.6210526315789,190
2020-11-01,62.6944444444444,216
2020-12-01,61.3771428571429,175
2021-01-01,62.9421487603306,121
2021-02-01,60.7837837837838,148
2021-03-01,60.2622950819672,244
2021-04-01,58.8126373626374,182
2021-05-01,58.0365296803653,219
2021-06-01,58.8779342723005,213
2021-07-01,63.8114285714286,70
2021-08-01,59.2290502793296,179
2021-09-01,57.6964285714286,224
2021-10-01,61.4228855721393,201
2021-11-01,62.8888888888889,99
2021-12-01,59.9,120
2022-01-01,60.8309090909091,165
2022-02-01,60.0243902439024,164
2022-03-01,57.78947368421049,171
2022-04-01,59.073333333333295,150
2022-05-01,60.5357142857143,168
2022-06-01,60.4601226993865,163
2022-07-01,57.9603603603604,111
2022-08-01,59.26315789473681,190
2022-09-01,57.895287958115205,191
