# Emergency admission mortality
# 
# 7-day mortality after emergency admission
# 
# Variables:
#   month (date): first day of month
#   deaths (numeric): number of deaths within 7 days after emergency admission
#   admissions (numeric): number of emergency admissions

month,deaths,admissions
2022-01-01,54,1339
2022-02-01,43,1294
2022-03-01,51,1606
2022-04-01,31,1444
2022-05-01,45,1444
2022-06-01,40,1377
2022-07-01,33,1382
2022-08-01,46,1391
2022-09-01,45,1318
2022-10-01,32,1385
2022-11-01,47,1472
2022-12-01,48,1421
2023-01-01,59,1460
2023-02-01,32,1281
2023-03-01,46,1520
2023-04-01,33,1310
2023-05-01,35,1481
2023-06-01,38,1402
2023-07-01,35,1227
2023-08-01,31,1280
2023-09-01,33,1355
2023-10-01,33,1410
2023-11-01,38,1419
2023-12-01,42,1336
