# On-time CT
# 
# Patients with acute abdomen CT scanned within 3 hours after arrival
# 
# Variables:
#   month (date): first day of month
#   ct_on_time (numeric): number of patients scanned within 3 hours
#   cases (numeric): number of patients with acute abdomen

month,ct_on_time,cases
2021-01-01,12,25
2021-02-01,16,22
2021-03-01,17,29
2021-04-01,17,26
2021-05-01,14,19
2021-06-01,7,11
2021-07-01,10,15
2021-08-01,15,21
2021-09-01,14,28
2021-10-01,12,22
2021-11-01,13,19
2021-12-01,7,17
2022-01-01,16,27
2022-02-01,7,18
2022-03-01,5,19
2022-04-01,10,22
2022-05-01,7,17
2022-06-01,14,18
2022-07-01,12,19
2022-08-01,16,26
2022-09-01,14,24
2022-10-01,20,32
2022-11-01,11,22
2022-12-01,13,22
