seqid,period,wkco,wkno,month,bedocc,died,alive,n,readm,discharges,pdied,readmrate,intvn,avgbedocc
1,16/05/2011 - 22/05/2011,16/05/2011,1,5,1951,9,115,124,15,111,0.072580645,0.135135135,0,278.7142857
2,23/05/2011 - 29/05/2011,23/05/2011,2,5,2160,9,98,107,14,93,0.08411215,0.150537634,0,308.5714286
3,30/05/2011 - 05/06/2011,30/05/2011,3,5,2198,14,84,98,18,81,0.142857143,0.222222222,0,314
4,06/06/2011 - 12/06/2011,06/06/2011,4,6,2287,15,109,124,18,101,0.120967742,0.178217822,0,326.7142857
5,13/06/2011 - 19/06/2011,13/06/2011,5,6,2217,10,109,119,16,96,0.084033613,0.166666667,0,316.7142857
6,20/06/2011 - 26/06/2011,20/06/2011,6,6,2193,14,100,114,18,91,0.122807018,0.197802198,0,313.2857143
7,27/06/2011 - 03/07/2011,27/06/2011,7,6,2170,16,97,113,10,89,0.14159292,0.112359551,0,310
8,04/07/2011 - 10/07/2011,04/07/2011,8,7,2125,18,102,120,14,94,0.15,0.14893617,0,303.5714286
9,11/07/2011 - 17/07/2011,11/07/2011,9,7,2114,12,118,130,15,113,0.092307692,0.132743363,0,302
10,18/07/2011 - 24/07/2011,18/07/2011,10,7,2103,11,88,99,16,83,0.111111111,0.192771084,0,300.4285714
11,25/07/2011 - 31/07/2011,25/07/2011,11,7,2083,16,79,95,18,76,0.168421053,0.236842105,0,297.5714286
12,01/08/2011 - 07/08/2011,01/08/2011,12,8,2035,10,96,106,18,87,0.094339623,0.206896552,0,290.7142857
13,08/08/2011 - 14/08/2011,08/08/2011,13,8,1985,5,83,88,16,80,0.056818182,0.2,0,283.5714286
14,15/08/2011 - 21/08/2011,15/08/2011,14,8,1990,10,107,117,11,97,0.085470085,0.113402062,0,284.2857143
15,22/08/2011 - 28/08/2011,22/08/2011,15,8,1990,5,121,126,18,115,0.03968254,0.156521739,0,284.2857143
16,29/08/2011 - 04/09/2011,29/08/2011,16,8,2003,10,81,91,17,76,0.10989011,0.223684211,0,286.1428571
17,05/09/2011 - 11/09/2011,05/09/2011,17,9,2028,12,111,123,16,104,0.097560976,0.153846154,0,289.7142857
18,12/09/2011 - 18/09/2011,12/09/2011,18,9,1977,15,105,120,14,96,0.125,0.145833333,0,282.4285714
19,19/09/2011 - 25/09/2011,19/09/2011,19,9,1906,10,96,106,12,88,0.094339623,0.136363636,0,272.2857143
20,26/09/2011 - 02/10/2011,26/09/2011,20,9,2005,8,91,99,20,81,0.080808081,0.24691358,0,286.4285714
21,03/10/2011 - 09/10/2011,03/10/2011,21,10,1967,11,106,117,15,102,0.094017094,0.147058824,0,281
22,10/10/2011 - 16/10/2011,10/10/2011,22,10,1955,8,84,92,15,79,0.086956522,0.189873418,0,279.2857143
23,17/10/2011 - 23/10/2011,17/10/2011,23,10,2053,7,88,95,18,77,0.073684211,0.233766234,0,293.2857143
24,24/10/2011 - 30/10/2011,24/10/2011,24,10,2226,17,100,117,19,96,0.145299145,0.197916667,0,318
25,31/10/2011 - 06/11/2011,31/10/2011,25,10,2329,16,106,122,16,101,0.131147541,0.158415842,0,332.7142857
26,07/11/2011 - 13/11/2011,07/11/2011,26,11,2297,13,129,142,26,121,0.091549296,0.214876033,0,328.1428571
27,14/11/2011 - 20/11/2011,14/11/2011,27,11,2141,9,119,128,24,112,0.0703125,0.214285714,0,305.8571429
28,21/11/2011 - 27/11/2011,21/11/2011,28,11,2150,20,95,115,11,83,0.173913043,0.13253012,0,307.1428571
29,28/11/2011 - 04/12/2011,28/11/2011,29,11,2246,13,108,121,11,96,0.107438017,0.114583333,0,320.8571429
30,05/12/2011 - 11/12/2011,05/12/2011,30,12,2181,13,134,147,16,121,0.088435374,0.132231405,0,311.5714286
31,12/12/2011 - 18/12/2011,12/12/2011,31,12,2126,13,110,123,15,96,0.105691057,0.15625,0,303.7142857
32,19/12/2011 - 25/12/2011,19/12/2011,32,12,2075,19,140,159,22,130,0.119496855,0.169230769,0,296.4285714
33,26/12/2011 - 01/01/2012,26/12/2011,33,12,2193,12,94,106,17,89,0.113207547,0.191011236,0,313.2857143
34,02/01/2012 - 08/01/2012,02/01/2012,34,1,2249,20,93,113,16,84,0.17699115,0.19047619,0,321.2857143
35,09/01/2012 - 15/01/2012,09/01/2012,35,1,2197,16,101,117,10,93,0.136752137,0.107526882,0,313.8571429
36,16/01/2012 - 22/01/2012,16/01/2012,36,1,2070,13,85,98,12,77,0.132653061,0.155844156,0,295.7142857
37,23/01/2012 - 29/01/2012,23/01/2012,37,1,2178,13,118,131,18,109,0.099236641,0.165137615,0,311.1428571
38,30/01/2012 - 05/02/2012,30/01/2012,38,1,2188,11,114,125,19,105,0.088,0.180952381,0,312.5714286
39,06/02/2012 - 12/02/2012,06/02/2012,39,2,2270,18,123,141,16,112,0.127659574,0.142857143,0,324.2857143
40,13/02/2012 - 19/02/2012,13/02/2012,40,2,2186,12,103,115,19,92,0.104347826,0.206521739,0,312.2857143
41,20/02/2012 - 26/02/2012,20/02/2012,41,2,2227,10,100,110,18,94,0.090909091,0.191489362,0,318.1428571
42,27/02/2012 - 04/03/2012,27/02/2012,42,2,2225,10,97,107,19,84,0.093457944,0.226190476,0,317.8571429
43,05/03/2012 - 11/03/2012,05/03/2012,43,3,2121,14,124,138,18,114,0.101449275,0.157894737,0,303
44,12/03/2012 - 18/03/2012,12/03/2012,44,3,2066,9,86,95,15,78,0.094736842,0.192307692,0,295.1428571
45,19/03/2012 - 25/03/2012,19/03/2012,45,3,2183,18,106,124,17,97,0.14516129,0.175257732,0,311.8571429
46,26/03/2012 - 01/04/2012,26/03/2012,46,3,2071,17,126,143,16,120,0.118881119,0.133333333,0,295.8571429
47,02/04/2012 - 08/04/2012,02/04/2012,47,4,2047,18,105,123,19,102,0.146341463,0.18627451,0,292.4285714
48,09/04/2012 - 15/04/2012,09/04/2012,48,4,2091,13,88,101,15,85,0.128712871,0.176470588,0,298.7142857
49,16/04/2012 - 22/04/2012,16/04/2012,49,4,2023,16,95,111,13,85,0.144144144,0.152941176,0,289
50,23/04/2012 - 29/04/2012,23/04/2012,50,4,1991,22,94,116,10,89,0.189655172,0.112359551,0,284.4285714
51,30/04/2012 - 06/05/2012,30/04/2012,51,4,1883,9,111,120,16,105,0.075,0.152380952,1,269
52,07/05/2012 - 13/05/2012,07/05/2012,52,5,1935,6,87,93,19,82,0.064516129,0.231707317,1,276.4285714
53,14/05/2012 - 20/05/2012,14/05/2012,53,5,1923,12,104,116,12,95,0.103448276,0.126315789,1,274.7142857
54,21/05/2012 - 27/05/2012,21/05/2012,54,5,1964,10,115,125,19,98,0.08,0.193877551,1,280.5714286
55,28/05/2012 - 03/06/2012,28/05/2012,55,5,1870,13,125,138,16,119,0.094202899,0.134453782,1,267.1428571
